Cod_pat,Time,Ax,Ay,Az,Mx,My,Mz,Ch,Label
11111,13/5/2018 12:41:43,-1.29,1.1,9.69,43.27,1.18,-57.45,1.56,0
11111,13/5/2018 12:41:44,-1.41,1.1,9.69,43.55,1.09,-57.55,1.44,0
11111,13/5/2018 12:41:46,-1.41,1.1,9.65,43.45,1.27,-57.55,1.68,0
11111,13/5/2018 12:41:48,-1.33,1.18,9.65,43.18,1.27,-57.55,1.69,0
11111,13/5/2018 12:41:49,-1.33,1.14,9.61,43.27,1.36,-57.45,1.8,0
11111,13/5/2018 12:41:51,-1.29,1.1,9.69,43.18,1.45,-57.76,1.93,0
11111,13/5/2018 12:41:53,-1.33,1.18,9.65,43.36,1.09,-57.45,1.44,0
11111,13/5/2018 12:41:54,-1.37,1.14,9.57,43.36,1.36,-57.35,1.8,0
11111,13/5/2018 12:41:56,-1.37,1.14,9.61,43.18,1.36,-57.55,1.81,0
11111,13/5/2018 12:41:58,-1.29,1.14,9.69,43.18,0.91,-57.35,1.21,0
11111,13/5/2018 12:41:59,-1.33,1.22,9.65,43.18,1,-57.76,1.33,0
11111,13/5/2018 12:42:01,-1.33,1.14,9.61,43.36,1.45,-57.35,1.92,0
11111,13/5/2018 12:42:05,-1.33,1.1,9.69,43.36,1.18,-57.35,1.56,0
11111,13/5/2018 12:42:05,-1.37,1.14,9.69,43.55,1.27,-57.45,1.67,0
11111,13/5/2018 12:42:06,-1.29,1.14,9.69,43.27,1.36,-57.55,1.8,0
11111,13/5/2018 12:42:07,-1.33,1.18,9.69,43.18,1.27,-57.24,1.69,0
11111,13/5/2018 12:42:09,-1.29,1.18,9.65,43.36,1.18,-57.24,1.56,0
11111,13/5/2018 12:42:11,-1.37,1.22,9.61,43.18,1.18,-57.24,1.57,0
11111,13/5/2018 12:42:12,-1.29,1.18,9.61,43.18,1.18,-57.35,1.57,0
11111,13/5/2018 12:42:16,-1.29,1.1,9.69,43.45,1.27,-57.14,1.68,0
11111,13/5/2018 12:42:17,-1.33,1.18,9.65,43.55,1.27,-57.45,1.67,0
11111,13/5/2018 12:42:19,-1.41,1.14,9.65,43.09,1,-57.45,1.33,0
11111,13/5/2018 12:42:21,-1.41,1.18,9.61,43.45,1.18,-57.45,1.56,0
11111,13/5/2018 12:42:22,-1.33,1.18,9.61,43.09,1.18,-57.65,1.57,0
11111,13/5/2018 12:42:24,-1.33,1.1,9.61,43,1.09,-57.24,1.45,0
11111,13/5/2018 12:42:26,-1.41,1.1,9.69,43.09,1.09,-57.45,1.45,0
11111,13/5/2018 12:42:27,-1.37,1.14,9.61,43.36,1.09,-57.76,1.44,0
11111,13/5/2018 12:42:29,-1.37,1.1,9.69,43.36,1.18,-57.55,1.56,0
11111,13/5/2018 12:42:30,-1.41,1.02,9.61,43.09,1.18,-57.55,1.57,0
11111,13/5/2018 12:42:32,-1.29,1.1,9.61,43.45,1.36,-57.35,1.8,0
11111,13/5/2018 12:42:34,-1.33,1.1,9.61,43,1.18,-57.76,1.57,0
11111,13/5/2018 12:42:35,-1.33,1.18,9.61,43.27,1.45,-57.24,1.93,0
11111,13/5/2018 12:42:37,-1.33,1.18,9.57,43.36,1.55,-57.55,2.04,0
11111,13/5/2018 12:42:40,-1.33,1.06,9.65,43,1.27,-57.45,1.7,0
11111,13/5/2018 12:42:40,-1.37,1.18,9.69,43.18,1.27,-57.45,1.69,0
11111,13/5/2018 12:42:42,-1.29,1.14,9.61,43.36,1.36,-57.55,1.8,0
11111,13/5/2018 12:42:44,-1.37,1.14,9.61,43.18,1.45,-57.86,1.93,0
11111,13/5/2018 12:42:45,-1.37,1.06,9.61,43.18,1.45,-57.76,1.93,0
11111,13/5/2018 12:42:47,-1.33,1.14,9.61,43.27,1.18,-57.45,1.56,0
11111,13/5/2018 12:42:49,-1.37,1.06,9.61,43.09,1.45,-57.65,1.93,0
11111,13/5/2018 12:42:50,-1.41,1.18,9.61,43,1.18,-57.24,1.57,0
11111,13/5/2018 12:42:52,-1.33,1.18,9.61,43.09,1.27,-57.45,1.69,0
11111,13/5/2018 12:42:55,-1.33,1.14,9.65,43.09,1.18,-57.55,1.57,0
11111,13/5/2018 12:42:57,-1.37,1.14,9.65,43.27,1.18,-57.35,1.56,0
11111,13/5/2018 12:42:58,-1.37,1.14,9.65,43,1.27,-57.24,1.7,0
11111,13/5/2018 12:43:00,-1.33,1.14,9.61,43.36,1.36,-57.65,1.8,0
11111,13/5/2018 12:43:02,-1.41,1.18,9.69,43.36,1.09,-57.55,1.44,0
11111,13/5/2018 12:43:03,-1.41,1.14,9.69,42.82,1.18,-57.35,1.58,0
11111,13/5/2018 12:43:05,-1.37,1.1,9.69,43.36,1.27,-57.76,1.68,0
11111,13/5/2018 12:43:07,-1.33,1.14,9.61,43.45,1,-57.65,1.32,0
11111,13/5/2018 12:43:08,-1.41,1.1,9.65,43.09,1.27,-57.45,1.69,0
11111,13/5/2018 12:43:10,-1.33,1.22,9.61,43,1.18,-57.65,1.57,0
11111,13/5/2018 12:43:12,-1.33,1.14,9.61,43.18,1.09,-57.45,1.45,0
11111,13/5/2018 12:43:13,-1.41,1.14,9.65,43.27,1.27,-57.35,1.68,0
11111,13/5/2018 12:43:15,-1.33,1.1,9.57,43.09,1.09,-57.45,1.45,0
11111,13/5/2018 12:43:16,-1.37,1.14,9.69,43.18,1.27,-57.45,1.69,0
11111,13/5/2018 12:43:18,-1.37,1.1,9.69,43.36,1.18,-57.24,1.56,0
11111,13/5/2018 12:43:20,-1.33,1.1,9.69,43.36,1.09,-57.45,1.44,0
11111,13/5/2018 12:43:21,-1.37,1.06,9.69,43.09,1.18,-57.45,1.57,0
11111,13/5/2018 12:43:23,-1.41,1.14,9.65,43.27,1.45,-57.65,1.93,0
11111,13/5/2018 12:43:25,-1.41,1.18,9.69,43.18,1,-57.45,1.33,0
11111,13/5/2018 12:43:26,-1.29,1.14,9.65,43.18,1.09,-57.55,1.45,0
11111,13/5/2018 12:43:28,-1.37,1.18,9.69,43.27,1.18,-57.55,1.56,0
11111,13/5/2018 12:43:30,-1.37,1.22,9.61,43.27,1.27,-57.35,1.68,0
11111,13/5/2018 12:43:31,-1.41,1.14,9.57,43.09,1.45,-57.65,1.93,0
11111,13/5/2018 12:43:33,-1.29,1.14,9.69,43.09,1.18,-57.45,1.57,0
11111,13/5/2018 12:43:35,-1.33,1.1,9.61,43.09,1.55,-57.35,2.05,0
11111,13/5/2018 12:43:36,-1.33,1.14,9.65,43.36,1.36,-57.65,1.8,0
11111,13/5/2018 12:43:38,-1.33,1.18,9.65,43.27,1.36,-57.45,1.8,0
11111,13/5/2018 12:43:39,-1.33,1.18,9.73,43.36,1.36,-57.86,1.8,0
11111,13/5/2018 12:43:43,-1.33,1.14,9.69,43.27,1.45,-57.65,1.93,0
11111,13/5/2018 12:43:44,-1.33,1.14,9.69,43.09,1.09,-57.55,1.45,0
11111,13/5/2018 12:43:46,-1.33,1.18,9.65,43.45,1.27,-57.45,1.68,0
11111,13/5/2018 12:43:48,-1.33,1.14,9.65,43.09,1.18,-57.55,1.57,0
11111,13/5/2018 12:43:49,-1.37,1.18,9.65,43.36,1.27,-57.65,1.68,0
11111,13/5/2018 12:43:51,-1.41,1.14,9.61,43.27,1.18,-57.45,1.56,0
11111,13/5/2018 12:43:53,-1.29,1.14,9.65,42.91,1.09,-57.14,1.46,0
11111,13/5/2018 12:43:54,-1.41,1.14,9.69,43.36,1.18,-57.55,1.56,0
11111,13/5/2018 12:43:56,-1.29,1.14,9.73,43.09,1.18,-57.14,1.57,0
11111,13/5/2018 12:43:58,-1.33,1.1,9.61,43.18,1.36,-57.35,1.81,0
11111,13/5/2018 12:43:59,-1.33,1.14,9.61,43.36,1.27,-57.45,1.68,0
11111,13/5/2018 12:44:01,-1.37,1.14,9.61,43.45,1.09,-57.55,1.44,0
11111,13/5/2018 12:44:03,-1.37,1.18,9.69,43.18,1.09,-57.45,1.45,0
11111,13/5/2018 12:44:04,-1.33,1.18,9.69,43.18,1.18,-57.45,1.57,0
11111,13/5/2018 12:44:06,-1.41,1.06,9.69,43.09,1.18,-57.45,1.57,0
11111,13/5/2018 12:44:07,-1.33,1.14,9.53,43.45,1.18,-57.45,1.56,0
11111,13/5/2018 12:44:09,-1.37,1.14,9.69,43.36,1.18,-57.55,1.56,0
11111,13/5/2018 12:44:11,-1.37,1.14,9.69,43.09,1.18,-57.55,1.57,0
11111,13/5/2018 12:44:12,-1.33,1.14,9.65,43.36,1.09,-57.24,1.44,0
11111,13/5/2018 12:44:14,-1.33,1.1,9.65,43.09,1.09,-57.35,1.45,0
11111,13/5/2018 12:44:16,-1.29,1.14,9.69,43,1.09,-57.55,1.45,0
11111,13/5/2018 12:44:17,-1.41,1.14,9.69,43.36,1.55,-57.65,2.04,0
11111,13/5/2018 12:44:21,-1.33,1.14,9.65,43.45,1.18,-57.45,1.56,0
11111,13/5/2018 12:44:21,-1.26,1.1,9.65,43.27,1.18,-57.76,1.56,0
11111,13/5/2018 12:44:22,-1.33,1.1,9.73,43.18,1.36,-57.45,1.81,0
11111,13/5/2018 12:44:24,-1.33,1.14,9.69,43.18,1.27,-57.55,1.69,0
11111,13/5/2018 12:44:26,-1.41,1.22,9.57,43.45,1,-57.35,1.32,0
11111,13/5/2018 12:44:27,-1.41,1.14,9.61,43.27,1.27,-57.65,1.68,0
11111,13/5/2018 12:44:29,-1.41,1.1,9.65,43.09,1.09,-57.55,1.45,0
11111,13/5/2018 12:44:31,-1.33,1.14,9.69,43.45,1.55,-57.55,2.04,0
11111,13/5/2018 12:44:32,-1.33,1.14,9.65,43.18,1.18,-57.55,1.57,0
11111,13/5/2018 12:44:34,-1.37,1.1,9.69,43.09,1.36,-57.45,1.81,0
11111,13/5/2018 12:44:36,-1.37,1.18,9.61,43.45,1.36,-57.65,1.8,0
11111,13/5/2018 12:44:37,-1.33,1.18,9.61,43.45,1.36,-57.45,1.8,0
11111,13/5/2018 12:44:39,-1.33,1.14,9.65,43.09,1.27,-57.76,1.69,0
11111,13/5/2018 12:44:40,-1.33,1.1,9.73,43.27,1.36,-57.45,1.8,0
11111,13/5/2018 12:44:42,-1.41,1.14,9.69,43.36,1.45,-57.45,1.92,0
11111,13/5/2018 12:44:44,-1.41,1.1,9.65,43.09,1.18,-57.14,1.57,0
11111,13/5/2018 12:44:45,-1.37,1.14,9.61,43.09,1.09,-57.45,1.45,0
11111,13/5/2018 12:44:47,-1.33,1.22,9.65,43.09,1.27,-57.96,1.69,0
11111,13/5/2018 12:44:49,-1.33,1.14,9.69,43.27,1.18,-57.55,1.56,0
11111,13/5/2018 12:44:50,-1.33,1.14,9.65,43.36,1.36,-57.86,1.8,0
11111,13/5/2018 12:44:52,-1.37,1.06,9.61,43.18,1.18,-57.24,1.57,0
11111,13/5/2018 12:44:54,-1.37,1.14,9.57,43.45,1.36,-57.55,1.8,0
11111,13/5/2018 12:44:56,-1.41,1.1,9.69,43.27,1,-57.45,1.32,0
11111,13/5/2018 12:44:57,-1.37,1.14,9.61,43.45,1.18,-57.55,1.56,0
11111,13/5/2018 12:44:58,-1.33,1.1,9.61,43.27,1.18,-57.55,1.56,0
11111,13/5/2018 12:45:00,-1.33,1.06,9.65,43,1.27,-57.24,1.7,0
11111,13/5/2018 12:45:02,-1.41,1.18,9.69,43.18,1.27,-57.55,1.69,0
11111,13/5/2018 12:45:03,-1.29,1.14,9.61,43.09,0.91,-57.35,1.21,0
11111,13/5/2018 12:45:05,-1.37,1.14,9.57,43.27,1.36,-57.24,1.8,0
11111,13/5/2018 12:45:07,-1.37,1.1,9.61,43.18,1.27,-57.35,1.69,0
11111,13/5/2018 12:45:08,-1.41,1.1,9.69,43.27,1.27,-57.45,1.68,0
11111,13/5/2018 12:45:10,-1.33,1.14,9.73,43.09,1.09,-57.24,1.45,0
11111,13/5/2018 12:45:12,-1.29,1.18,9.69,43.27,1.36,-57.24,1.8,0
11111,13/5/2018 12:45:13,-1.33,1.18,9.69,43.36,1,-57.35,1.32,0
11111,13/5/2018 12:45:15,-1.29,1.18,9.61,43.27,1.18,-57.35,1.56,0
11111,13/5/2018 12:45:17,-1.45,1.1,9.61,43.27,1.27,-57.55,1.68,0
11111,13/5/2018 12:45:18,-1.33,1.14,9.85,43.27,1.55,-57.65,2.05,0
11111,13/5/2018 12:45:20,-1.33,1.18,9.73,43.18,1.09,-57.55,1.45,0
11111,13/5/2018 12:45:22,-1.37,1.22,9.65,43.27,1.27,-57.35,1.68,0
11111,13/5/2018 12:45:23,-1.33,1.1,9.65,43.18,1.45,-57.55,1.93,0
11111,13/5/2018 12:45:26,-1.33,1.18,9.65,43.09,1.09,-57.24,1.45,0
11111,13/5/2018 12:45:27,-1.57,1.1,9.65,43.27,1.55,-57.55,2.05,0
11111,13/5/2018 12:45:28,-1.33,1.18,9.53,43.45,1.55,-57.45,2.04,0
11111,13/5/2018 12:45:30,-1.33,1.18,9.61,43.18,1.09,-57.24,1.45,0
11111,13/5/2018 12:45:33,-1.33,1.14,9.65,43.45,1.36,-57.45,1.8,0
11111,13/5/2018 12:45:34,-1.33,1.1,9.73,43.27,1.09,-57.35,1.44,0
11111,13/5/2018 12:45:36,-1.33,1.18,9.57,43.18,1.45,-57.76,1.93,0
11111,13/5/2018 12:45:36,-1.37,1.18,9.57,43,1.36,-57.14,1.82,0
11111,13/5/2018 12:45:38,-1.33,1.14,9.57,43.27,1.55,-57.55,2.05,0
11111,13/5/2018 12:45:40,-1.29,1.18,9.69,43.27,1.36,-57.45,1.8,0
11111,13/5/2018 12:45:41,-1.33,1.14,9.69,43.27,1.45,-57.45,1.93,0
11111,13/5/2018 12:45:43,-1.33,1.18,9.65,43.18,1.18,-57.65,1.57,0
11111,13/5/2018 12:45:45,-1.33,1.18,9.61,43.55,1.27,-57.24,1.67,0
11111,13/5/2018 12:45:46,-1.37,1.14,9.69,43.27,1.27,-57.45,1.68,0
11111,13/5/2018 12:45:48,-1.37,1.14,9.69,43.45,1.18,-57.35,1.56,0
11111,13/5/2018 12:45:49,-1.18,1.26,9.61,43.45,1.55,-57.24,2.04,0
11111,13/5/2018 12:45:51,-1.33,1.14,9.65,43.09,1.27,-57.24,1.69,0
11111,13/5/2018 12:45:53,-1.33,1.1,9.69,43.45,1.64,-57.55,2.16,0
11111,13/5/2018 12:45:54,-1.33,1.06,9.61,43.09,1.18,-57.55,1.57,0
11111,13/5/2018 12:45:56,-1.33,1.18,9.57,43.36,1.27,-57.76,1.68,0
11111,13/5/2018 12:45:58,-1.37,1.14,9.69,43,1.36,-57.35,1.82,0
11111,13/5/2018 12:45:59,-1.37,1.18,9.61,43.27,1.09,-57.55,1.44,0
11111,13/5/2018 12:46:01,-1.37,1.1,9.69,43.18,1.09,-57.24,1.45,0
11111,13/5/2018 12:46:03,-1.33,1.1,9.69,43.18,1,-57.45,1.33,0
11111,13/5/2018 12:46:04,-1.37,1.18,9.69,43.27,1.27,-57.65,1.68,0
11111,13/5/2018 12:46:06,-1.37,1.14,9.57,43.55,1.09,-57.35,1.44,0
11111,13/5/2018 12:46:08,-1.33,1.14,9.69,43.09,1.09,-57.35,1.45,0
11111,13/5/2018 12:46:09,-1.33,1.1,9.69,43.09,1.18,-57.24,1.57,0
11111,13/5/2018 12:46:11,-1.29,1.18,9.69,43.09,1.18,-57.76,1.57,0
11111,13/5/2018 12:46:12,-1.37,1.14,9.69,43.18,1.09,-57.24,1.45,0
11111,13/5/2018 12:46:14,-1.33,1.14,9.69,43.27,1.36,-57.76,1.8,0
11111,13/5/2018 12:46:16,-1.29,1.18,9.69,43.09,1.27,-57.55,1.69,0
11111,13/5/2018 12:46:18,-1.29,1.1,9.73,43.27,1.09,-57.24,1.44,0
11111,13/5/2018 12:46:20,-1.33,1.18,9.65,43.18,1.27,-57.55,1.69,0
11111,13/5/2018 12:46:21,-1.37,1.14,9.73,43.18,1.27,-57.55,1.69,0
11111,13/5/2018 12:46:22,-1.33,1.14,9.69,43.36,1.64,-57.55,2.16,0
11111,13/5/2018 12:46:24,-1.29,1.1,9.61,43.27,1.27,-57.24,1.68,0
11111,13/5/2018 12:46:26,-1.26,1.14,9.65,43.36,1.36,-57.76,1.8,0
11111,13/5/2018 12:46:28,-1.37,1.14,9.65,43.36,1.18,-57.14,1.56,0
11111,13/5/2018 12:46:32,-1.26,1.18,9.65,43.45,1.36,-57.24,1.8,0
11111,13/5/2018 12:46:32,-1.37,1.14,9.65,43.36,1.18,-57.35,1.56,0
11111,13/5/2018 12:46:35,-1.33,1.06,9.77,43.27,1.36,-57.45,1.8,0
11111,13/5/2018 12:46:36,-1.29,1.14,9.57,43.09,1.27,-57.04,1.69,0
11111,13/5/2018 12:46:37,-1.45,1.22,9.69,43.36,1.18,-57.55,1.56,0
